1,0,Dy,La1,6495.20,6495.20
1,0,Dy,Lb1,7247.70,7247.70
1,0,Dy,Lb2,7635.70,7635.70
1,0,Dy,Lg1,8418.80,8418.80
1,0,Dy,Ka2,45207.80,45207.80
1,0,Dy,Ka1,45998.40,45998.40
1,0,Dy,Kb1,52119.00,52119.00
1,0,Er,Ma1,1406.00,1406.00
1,0,Er,La2,6905.00,6905.00
1,0,Er,La1,6948.70,6948.70
1,0,Er,Lb1,7810.90,7810.90
1,0,Er,Lb2,8189.00,8189.00
1,0,Er,Lg1,9089.00,9089.00
1,0,Er,Ka2,48221.10,48221.10
1,0,Er,Ka1,49127.70,49127.70
1,0,Er,Kb1,55681.00,55681.00
1,0,Eu,Ma1,1131.00,1131.00
1,0,Eu,La2,5816.60,5816.60
1,0,Eu,La1,5845.70,5845.70
1,0,Eu,Lb1,6456.40,6456.40
1,0,Eu,Lb2,6843.20,6843.20
1,0,Eu,Lg1,7480.30,7480.30
1,0,Eu,Ka2,40901.90,40901.90
1,0,Eu,Ka1,41542.20,41542.20
1,0,Eu,Kb1,47037.90,47037.90
1,0,F,Ka1,676.80,676.80
1,0,Fe,La2,705.00,705.00
1,0,Fe,La1,705.00,705.00
1,0,Fe,Lb1,718.50,718.50
1,0,Fe,Ka2,6390.84,6390.84
1,0,Fe,Ka1,6403.84,6403.84
1,0,Fe,Kb1,7057.98,7057.98
1,0,Fr,La2,11895.00,11895.00
1,0,Fr,La1,12031.30,12031.30
1,0,Fr,Lb2,14450.00,14450.00
1,0,Fr,Lb1,14770.00,14770.00
1,0,Fr,Lg1,17303.00,17303.00
1,0,Fr,Ka2,83230.00,83230.00
1,0,Fr,Ka1,86100.00,86100.00
1,0,Fr,Kb1,97470.00,97470.00
1,0,Ga,La2,1097.92,1097.92
1,0,Ga,La1,1097.92,1097.92
1,0,Ga,Lb1,1124.80,1124.80
1,0,Ga,Ka2,9224.82,9224.82
1,0,Ga,Ka1,9251.74,9251.74
1,0,Ga,Kb1,10264.20,10264.20
1,0,Gd,Ma1,1185.00,1185.00
1,0,Gd,La2,6025.00,6025.00
1,0,Gd,La1,6057.20,6057.20
1,0,Gd,Lb1,6713.20,6713.20
1,0,Gd,Lb2,7102.80,7102.80
1,0,Gd,Lg1,7785.80,7785.80
1,0,Gd,Ka2,42308.90,42308.90
1,0,Gd,Ka1,42996.20,42996.20
1,0,Gd,Kb1,48697.00,48697.00
1,0,Ge,La2,1188.00,1188.00
1,0,Ge,La1,1188.00,1188.00
1,0,Ge,Lb1,1218.50,1218.50
1,0,Ge,Ka2,9855.32,9855.32
1,0,Ge,Ka1,9886.42,9886.42
1,0,Ge,Kb1,10982.10,10982.10
